"id","station_code","station_name","latitude","longitude","level"
112,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/FDm9hBNYb99","Kezi Rural Hospital",NULL,NULL,4
113,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/gri4bmtWbqG","Matobo Mission Clinic",NULL,NULL,4
114,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/gygPTU6Jrgx","Mlugulu Clinic",NULL,NULL,4
115,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/jxSgfvRa1kd","Cyrene Mission Clinic",NULL,NULL,4
116,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/kEC31WjP2wR","Gulati Rural Health Centre",NULL,NULL,4
117,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/khHSytZaECG","Sankonjana Rural Health Centre",NULL,NULL,4
118,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/lXWXq7pvXNr","Mbembeswana Rural Health Centre",NULL,NULL,4
119,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/mgxlglCseF4","Masiye Camp Clinic",NULL,NULL,4
120,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/pE7JIVQTAax","Silozwi Clinic",NULL,NULL,4
121,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/pzIEDyvh4SS","Ndabankulu Clinic",NULL,NULL,4
122,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/QBWN4VDaKc9","Fumugwe Clinic",NULL,NULL,4
123,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/qwnyqPsOoCT","Maphisa District Hospital",NULL,NULL,4
124,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/RsSbNZR2lnR","Ekukanyeni Clinic",NULL,NULL,4
125,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/TBrKYpmE8ys","Beula Rural Health Centre",NULL,NULL,4
126,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/wa7S2vIGgVg","Tshelanyemba Mission Hospital",NULL,NULL,4
127,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/XVUGfE4rVxG","St. Josephs Rural Hospital",NULL,NULL,4
128,"/Z9zOAr1dQ8K/kUS61oPWPF9/pKhWt8ZkncG/Zjgwzp0iPau","Homestead Rural Health Centre",NULL,NULL,4
129,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn","Mangwe",NULL,NULL,3
130,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/AxbWlACKfun","Maninji Clinic",NULL,NULL,4
131,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/Bk03KuutZss","SANZUKWI Clinic",NULL,NULL,4
132,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/CoCGCYaDyfm","Mambale Clinic",NULL,NULL,4
133,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/csZvGNTFp2K","Embakwe Mission Hospital",NULL,NULL,4
134,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/FjN22JqEC4D","Tshitshi Clinic",NULL,NULL,4
135,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/HWtwaa3MidK","St. Annes Brunapeg Mission Hospital",NULL,NULL,4
136,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/HYNPD4P3JyV","Marula Clinic",NULL,NULL,4
137,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/ImEOeEnBhCe","Ingwizi Clinic",NULL,NULL,4
138,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/JOr33aW1Qul","Empandeni Clinic",NULL,NULL,4
139,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/jPcuTzdshv2","Madabe Clinic",NULL,NULL,4
140,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/m3xf7bSFUsi","Izimnyama Clinic",NULL,NULL,4
141,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/qKa0cqfK6cB","Macingwana RHC",NULL,NULL,4
142,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/RFTwaeEoUqu","Plumtree District Hospital",NULL,NULL,4
143,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/RJnzhQ3jWs2","Mayobodo Rural Health Centre",NULL,NULL,4
144,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/ut7vZn6zqdQ","Nguwanyana",NULL,NULL,4
145,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/vccaicHoiyB","Plumtree Border Post Clinic",NULL,NULL,4
146,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/vNLrnKgUtPc","Bango Clinic",NULL,NULL,4
147,"/Z9zOAr1dQ8K/kUS61oPWPF9/tYiMfzPnISn/YaLsThHfLT9","Dingumuzi Clinic",NULL,NULL,4
148,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz","Umzingwane",NULL,NULL,3
149,"/Z9zOAr1dQ8K/kUS61oPWPF9/tzUGOJR9KMz/B9HL312kFTS","Dula Clinic",NULL,NULL,4
